axis,min,max
0,82,58
1,80,85
2,20,41
3,71,81
4,94,68
5,10,9
6,16,96
7,54,45
8,24,3
9,47,61
10,16,32
11,94,28
12,44,52
13,97,7
14,88,69
15,12,54
16,2,44
17,5,31
18,79,49
19,25,0
20,77,36
21,17,80
22,28,82
23,66,25
24,100,20
25,67,71
26,66,15
27,73,61
28,60,2
29,7,42
30,96,24
31,47,60
32,57,81
33,99,38
34,75,34
35,95,83
36,7,94
37,92,56
38,89,76
39,41,21
40,74,45
41,89,59
42,17,63
43,91,94
44,51,0
45,2,34
46,2,92
47,83,76
48,23,23
49,96,51
50,56,46
51,55,68
52,5,0
53,33,28
54,50,0
55,77,93
56,61,86
57,75,49
58,33,89
59,63,79
60,48,53
61,11,59
62,11,7
63,66,54
64,36,97
65,64,22
66,60,99
67,46,91
68,19,12
69,56,97
70,49,18
71,67,96
72,1,51
73,11,33
74,56,8
75,92,55
76,71,43
77,76,30
78,22,48
79,29,94
80,15,13
81,42,99
82,91,19
83,62,44
84,71,82
85,82,33
86,27,70
87,77,100
88,13,61
89,72,77
90,46,97
91,98,74
92,97,33
93,32,90
94,10,57
95,54,31
96,86,26
97,23,11
98,89,1
99,75,5
