axis,min,max
0,72,28
1,21,79
2,54,46
3,0,100
4,48,52
5,56,44
6,0,100
7,34,66
8,57,43
9,15,85
10,62,38
11,2,98
12,59,41
13,0,100
14,0,100
15,0,100
16,0,100
17,0,100
18,0,100
19,91,9
20,69,31
21,53,47
22,78,22
23,57,43
24,79,21
25,58,42
26,13,87
27,67,33
28,66,34
29,69,31
30,35,65
31,3,97
32,53,47
33,21,79
34,61,39
35,75,25
36,88,12
37,100,0
38,87,13
39,0,100
40,92,8
41,89,11
42,0,100
43,12,88
44,23,77
45,40,60
46,77,23
47,45,55
48,76,24
49,76,24
50,28,72
51,47,53
52,2,98
53,5,95
54,84,16
55,71,29
56,58,42
57,41,59
58,92,8
59,82,18
60,31,69
61,73,27
62,80,20
63,42,58
64,22,78
65,0,100
66,77,23
67,97,3
68,25,75
69,77,23
70,30,70
71,74,26
72,17,83
73,45,55
74,12,88
75,100,0
76,71,29
77,9,91
78,69,31
79,15,85
80,41,59
81,29,71
82,68,32
83,40,60
84,73,27
85,8,92
86,7,93
87,10,90
88,90,10
89,30,70
90,33,67
91,61,39
92,22,78
93,6,94
94,21,79
95,16,84
96,0,100
97,72,28
98,46,54
99,86,14
